,B24_NAME,RM_ID,P26_RA,P26_DEC,B24_R500,z,LAMBDA_CHISQ,LAMBDA_CHISQ_ERR,B24_KT,B24_KT_L,B24_KT_H,B24_L500_0520,B24_L500_L_0520,B24_L500_H_0520,P26_T_ero,P26_T_ero_lo_err,P26_T_ero_hi_err,P26_L_0.5-2_ero,P26_L_0.5-2_ero_lo_err,P26_L_0.5-2_ero_hi_err,P26_L_0.1-10_ero,P26_L_0.1-10_ero_lo_err,P26_L_0.1-10_ero_hi_err,P26_T_xmm,P26_T_xmm_lo_err,P26_T_xmm_hi_err,P26_L_0.5-2_xmm,P26_L_0.5-2_xmm_lo_err,P26_L_0.5-2_xmm_hi_err,P26_L_0.1-10_xmm,P26_L_0.1-10_xmm_lo_err,P26_L_0.1-10_xmm_hi_err
28,1eRASS J024339.2-483339,37.0,40.91,-48.56,1248.0,0.5,139.0,4.2429137,-1.0,5.32,-1.0,521.38,469.682,587.74,18.7825382,12.172023031000002,-18.7825382,5.6527668330000005e+44,5.652766833e+44,6.002887506797333e+43,2.332870602e+45,2.332870601790048e+45,3.234319350176849e+44,6.068395064,0.2246628709999996,0.2261685980000001,6.574686617e+44,1.1118972594121219e+43,7.017488801696791e+42,2.098485905e+45,3.9424969732697426e+43,5.140721426500311e+43
29,1eRASS J024409.0-261049,871.0,41.09,-26.24,1047.0,0.15,66.0,3.4275289,-1.0,2.58,-1.0,61.581,56.312,66.423,2.100055376,0.3363599509999997,0.6036237620000002,3.748454297e+43,2.91239835430387e+42,4.5661879342003504e+42,7.893199755999999e+43,1.0304393501438762e+43,1.0639040269811752e+43,3.348356089,0.0621122520000003,0.0621686229999998,5.693270516e+43,3.247678843467901e+41,4.372364765047601e+41,1.4590363500000003e+44,1.76741022108939e+42,1.6196067199757798e+42
30,1eRASS J024530.5-530211,8.0,41.35,-53.03,1334.0,0.3,151.0,4.1413856,7.76,5.39,16.81,434.63,408.829,463.058,4.825688542,1.1511422210000002,1.6232127189999996,5.103622523e+44,2.2219463378267304e+43,2.4104233864914383e+43,1.4808561460000002e+45,2.050665177952829e+44,1.6027926950437592e+44,8.352054588,0.2747270139999997,0.2958754490000004,5.585214305000001e+44,6.777444371691839e+42,4.0919183274003904e+42,1.969136973e+45,2.812862318917064e+43,2.098564403999708e+43
31,1eRASS J025353.3-604637,35.0,43.46,-60.78,715.0,0.45,25.0,5.0951715,-1.0,1.61,-1.0,44.11,28.895,63.434,2.192394113,0.6930650750000003,9.857538157,2.977601381000001e+43,2.977601381000001e+43,1.0701617580709412e+43,6.248336013999999e+43,6.248336013273569e+43,4.953759085034957e+43,4.069441033,0.9633817120000004,1.292022642,4.3052231820000003e+43,5.0722673680532896e+42,5.95149076210316e+42,1.189871599e+44,2.278414976064095e+43,1.7003854631085651e+43
32,1eRASS J025418.0-585646,1.0,43.56,-58.95,1298.0,0.43,222.0,5.712534,-1.0,4.49,-1.0,527.456,483.61,579.442,3.723465311,1.00108929,1.6253206670000004,4.6634494079999995e+44,3.5128708138960293e+43,5.355031736205871e+43,1.2137296640000002e+45,2.33886643222092e+44,1.7969260125317546e+44,7.467586635,0.1917231169999995,0.1918808700000003,5.5895442810000005e+44,8.953030481357771e+42,7.971828689568139e+42,1.90534368e+45,2.5715608068395165e+43,4.780214024562826e+43
33,1eRASS J025419.7-605201,18.0,43.59,-60.87,1041.0,0.45,156.0,4.9382305,-1.0,1.78,-1.0,171.979,145.408,202.614,22.1305839,16.974686481,-22.1305839,1.4069769419999999e+44,1.4069769419999999e+44,3.5482607450972396e+43,5.9800019349999996e+44,5.9800019348694284e+44,2.6486278192301406e+44,5.685572717,0.5720203230000003,0.6818186809999993,1.569950193e+44,5.0079412817714106e+42,5.5095058089346505e+42,4.907660515000001e+44,2.657232590710484e+43,2.0209495701432087e+43
34,1eRASS J025708.9-232602,259.0,44.29,-23.43,1310.0,0.5,102.0,4.598015,5.17,3.09,13.34,699.354,629.053,778.141,6.497213723,2.432394095,7.364466017,6.7491981289999994e+44,6.243280872716546e+43,7.135757334376879e+43,2.1603424540000002e+45,5.1673772297648126e+44,2.6060308607836616e+44,7.071690023,0.2032926400000008,0.2034615049999999,8.397647533e+44,6.204017573381131e+42,6.160653641849299e+42,2.8198125689999996e+45,3.08519443076656e+43,2.997619604543484e+43
35,1eRASS J030416.4-440155,51.0,46.07,-44.03,1218.0,0.45,138.0,5.6269073,6.16,2.99,8.59,412.075,369.013,460.44,3.431431111,0.7843567960000004,1.4328142239999997,4.96797173e+44,3.3310386665111157e+43,3.5644553668767336e+43,1.251435953e+45,1.5533848807702303e+44,1.5342013617397727e+44,5.941841406,0.2351597469999999,0.2371883050000001,5.514335937000001e+44,4.59964045997811e+42,7.806075644731259e+42,1.7479317160000003e+45,2.7416559945362417e+43,3.186812465420888e+43
36,1eRASS J030702.0-283956,245.0,46.76,-28.67,1369.0,0.25,103.0,4.3779373,4.42,3.66,6.01,462.157,439.926,487.799,4.406111032,0.755538864,1.2228506679999995,4.623250367e+44,1.8455887433743956e+43,1.265088949697632e+43,1.300942162e+45,1.448023503717689e+44,1.2294498833726524e+44,6.436928196,0.1523719320000003,0.1530483459999994,4.721728709e+44,4.3735736940343096e+42,4.8822473498236297e+42,1.537354271e+45,1.8947702890010505e+43,1.219026042185243e+43
37,1eRASS J031411.2-290824,677.0,48.54,-29.14,1004.0,0.36,71.0,3.3887072,3.86,2.1,10.63,108.082,93.473,125.472,2.500552153,0.7249802330000001,2.279040295,1.2132021449999999e+44,1.6150534241561253e+43,3.0731535403130707e+43,2.7005297050000003e+44,4.517332278599796e+43,5.976599819656048e+43,0.9346815763,0.1908720703,0.1689129756999998,3.0999830400000004e+43,1.4216542502590452e+43,1.1921144847831772e+43,4.791784328000001e+43,2.0122855682369352e+43,1.8063776072983401e+43
