,Cluster,ra,dec,z,R500,Nhtot,T_M24,T_M24_hi_err,T_M24_lo_err,T_P26,T_P26_hi_err,T_P26_lo_err
46,A3376,90.44087990732942,-39.99272867849543,0.047,15.842,5.84,3.670,0.630,0.484,3.141619668,1.7321664230000002,0.7159781620000003
47,A3378,91.47046502331376,-35.300382542922854,0.148,7.545,4.82,2.703,0.863,0.459,2.754652711,1.038843526,0.607366061
48,A3391,96.5942699890778,-53.69526229656199,0.051,14.919,7.59,5.438,1.039,0.826,7.596168091,3.5542189090000003,1.867597933
49,A3392,96.78412429848868,-35.48878189608387,0.043,12.763,7.96,1.720,0.544,0.240,0.9826714305,0.0921990295,0.2162584150000001
50,A3396,97.20731876689432,-41.7283407556668,0.176,6.085,6.95,3.570,1.313,0.705,3.770718145,2.1938780280000003,0.93675896
51,A3404,101.37215924912188,-54.21857686263144,0.167,7.109,7.62,8.142,4.077,1.891,63.96726493,-63.96726493,34.94180749
52,A3444,155.96169703236404,-27.25829176689337,0.26,5.389,6.97,,,,2.998670352,4.583126507999999,1.153947003
53,A3490,176.3298551540894,-34.42864805592121,0.07,10.194,9.69,2.406,0.648,0.372,1.944910467,0.680589815,0.2792363089999998
54,A3497,180.02069728302774,-31.40553910543593,0.068,10.201,6.9,2.113,0.653,0.393,1.319821787,0.346571752,0.1126847429999999
55,A3526,192.19966889098907,-41.308017858394685,0.009,59.084,12.2,2.948,0.167,0.153,4.692263731,0.7156770890000006,0.6509171619999998
56,A3528N,193.5975622561324,-29.02229424532052,0.054,12.679,8.15,4.393,3.528,1.151,17.8943543,-17.8943543,11.793379417
57,A3532,194.32044132742016,-30.3767953176469,0.055,14.252,8.44,9.127,5.350,2.383,6.778256223,3.573073147000001,2.092179132
58,A3558,201.98960195675272,-31.50280762551686,0.048,19.501,4.84,5.704,1.021,0.777,34.54542179,-34.54542179,25.250334943
59,A3558B,202.4284045737652,-31.60238365976027,0.049,14.534,4.62,2.343,0.513,0.330,1.911998322,0.4199709199999999,0.27070426
60,A3558C,202.88492587656071,-31.81548802774605,0.045,12.387,4.46,2.340,0.831,0.432,1.308617469,0.3095563959999998,0.1442281440000001
61,A3560,203.09363922491195,-33.13942479625721,0.049,14.439,5.16,2.397,0.498,0.311,2.948920227,2.2739388770000004,0.9534929
62,A3562,203.40129908422168,-31.661015757425,0.049,16.102,4.47,3.429,0.630,0.498,6.595987398,8.864102562,2.470448338
63,A3570,206.7186809046937,-37.87443339233742,0.038,13.792,6.37,1.591,0.240,0.166,1.744800837,0.9450453209999998,0.2217892840000002
64,A3571,206.8686800933811,-32.849760034900704,0.039,24.793,5.08,5.172,0.484,0.451,4.664914194,0.9552791120000004,1.0296806139999997
65,A3638,291.3737921110612,-42.949627590130426,0.08,9.631,7.36,,,,2.993117182,2.412916634,0.9867633850000002
66,A3651,298.0695099535497,-55.06197139473179,0.06,11.334,4.72,2.063,0.411,0.222,1.863113749,0.5121496410000002,0.2224149020000001
67,A3667,303.1278485265684,-56.83226138096409,0.056,18.503,5.26,4.553,0.802,0.707,5.173527396,4.210209647,1.6598000369999997
68,A3806,326.58720855736624,-57.288516246606285,0.076,9.765,2.86,4.224,4.375,1.270,5.672262752,9.453028598,2.168594004
69,A3822,328.5374115906609,-57.85513932457511,0.076,11.556,2.53,6.676,7.398,1.995,6.917998612,6.898021398000001,2.289276202
